id,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,3.75,3.75,,2 Topping Pizza Slice,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,3.5,3.5,,1 Topping Pizza Slice,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,19.25,19.25,Round pie topped with fresh mozzarella cheese and spicy chicken,16ampquot Buffalo Chicken Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,16.95,16.95,Round pie with fresh mozzarella cheese and plum tomato sauce,16ampquot Margherita Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,12.5,12.5,Round pie with fresh mozzarella cheese ham and pineapple,12ampquot Hawaiian Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,17.75,17.75,Round white pie topped with fresh mozzarella ricotta and Parmesan cheese,16ampquot White Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,11.75,11.75,Round pie with mozzarella cheese topped with tomato sauce eggplant and sprinkled with Parmesan cheese,12ampquot Eggplant Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,12.5,12.5,Round pie with mozzarella cheese topped with tomato sauce ground beef pepperoni and sausage,12ampquot Meat Lovers Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,13.75,13.75,Round pie topped with mozzarella cheese and tomato sauce,16ampquot Cheese Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,18.75,18.75,Round pie topped with mushrooms spinach peppers onions and broccoli,16ampquot Veggie Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,12,12,Tomato sauce and Italian buffalo milk mozzarella,12ampquot Bufalina PIzza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,18.95,18.95,Square pie topped with mozzarella cheese and tomato sauce,16ampquot Sicilian Pizza,Salvos Pizzabar,10075,25,40,NY
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,19.75,19.75,Round pie with breaded chicken ricotta cheese and plum tomato sauce,16ampquot Chicken Parm Pizza,Salvos Pizzabar,10075,25,40,NY
AVwcjjQ4kufWRAb5weHv,9600 San Jose Blvd,"Restaurant,Pizza Place",Accommodation & Food Services,Jacksonville,US,us/fl/jacksonville/9600sanjoseblvd/1770159848,30.204576,-81.785252,,7.99,7.99,carry out plus taxes,Large 3 Topping Pizza,Little Caesars Pizza,32257,0,25,FL
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Methi Mutter Malai Pizza,Curry on Crust,48187,0,25,MI
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Spicy Veg Pizza,Curry on Crust,48187,0,25,MI
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Gobi Munchurian Pizza,Curry on Crust,48187,0,25,MI
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Roasted Garlic Pizza,Curry on Crust,48187,0,25,MI
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Hari Mirch Pineapple Pizza,Curry on Crust,48187,0,25,MI
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Aaloo Gobi Pizza,Curry on Crust,48187,0,25,MI
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Margherita Pizza,Curry on Crust,48187,0,25,MI
