,Title,Developer(s),Publisher(s),Genre,Release date,ref
79,Final Fantasy Grandmasters,Square Enix,Square Enix,massively multiplayeronline role-playing,JP: 30 Sep 2015,
80,Final Fantasy IX,Square Enix,Square Enix,role-playing,10 Feb 2016,
81,Final Fantasy XV: A New Empire,Epic Action,Machine Zone,strategy,28 Jun 2017,
82,Final Fantasy Tactics: The War of the Lions,Square Enix,Square Enix,strategy,4 Jun 2014,
83,Fire Emblem Heroes,Nintendo EPD,Nintendo,role-playing,2 Feb 2017,[12]
84,Fortnite Battle Royale,Epic Games,Epic Games,"battle royale, sandbox",9 Aug 2018,
85,Futurama: Worlds of Tomorrow,TinyCo,TinyCo,strategy,28 Jun 2017,
86,Gangstar Rio: City of Saints,Gameloft Montreal,Gameloft,action,10 Nov 2011,
87,Gangstar Vegas,Gameloft,Gameloft,action,7 Jun 2013,
88,Gangstar: New Orleans,Gameloft Montreal,Gameloft,action,30 Mar 2017,
89,Gerbil Physics,Pencel Games,Microsoft Studios,puzzle,6 Mar 2012,
90,Godus,22cans,DeNA,God game,27 Nov 2014,
91,Grand Theft Auto III,DMA Design,Rockstar Games,action-adventure,15 Dec 2011,
92,Grand Theft Auto: Chinatown Wars,"Rockstar North, Rockstar Leeds",Rockstar Games,action-adventure,18 Dec 2014,
93,Grand Theft Auto: Liberty City Stories,"Rockstar North, Rockstar Leeds",Rockstar Games,action-adventure,11 Feb 2016,
94,Grand Theft Auto: San Andreas,War Drum Studios,Rockstar Games,action-adventure,19 Dec 2013,
95,Grand Theft Auto: The Trilogy - The Definitive Edition,Grove Street Games,Rockstar Games,action-adventure,2022,
96,Grand Theft Auto: Vice City,Rockstar North,Rockstar Games,action-adventure,12 Dec 2012,
97,Growtopia,"Ubisoft Abu Dhabi,Robinson Technologies,Hamumu Software",Ubisoft,massively multiplayeronline,30 Nov 2012,
98,Garena Free Fire,111 Dots Studio,Garena,battle royale,30 Sep 2017,
99,Harry Potter: Wizards Unite,tinyBuild,tinyBuild,action role-playing,28 Jun 2019,
100,Hello Neighbor,Dynamic Pixels,tinyBuild,survival horror,27 Jul 2018,
101,Hearthstone,Blizzard Entertainment,Blizzard Entertainment,card,15 Dec 2014,
102,Hit It Rich!,Zynga,Zynga,casino,13 Jul 2013,
103,Hitman: Sniper,Square Enix Montréal,Square Enix,first-person shooter,3 Jun 2014,
104,Hitman Go,Square Enix Montréal,Square Enix,puzzle,4 Jun 2014,
105,Horizon Chase,Aquiris Game Studio,Aquiris Game Studio,racing,19 Nov 2015,
106,Inazuma Eleven: Great Road of Heroes,Level-5,Level-5,role-playing,2021,
107,Indian Air Force: A Cut Above,Threye Interactive,Indian Air Force,combat flight simulator,30 Jul 2019,
108,Injustice: Gods Among Us,NetherRealm Studios,Warner Bros. Interactive Entertainment,fighting,21 Nov 2013,
109,Injustice 2,NetherRealm Studios,Warner Bros. Interactive Entertainment,fighting,16 May 2017,
110,Jade Empire,BioWare,Aspyr,action role-playing,15 Nov 2016,
111,Just Dance Now,"Massive Entertainment, Ubisoft Milan",Ubisoft,"music, rhythm",25 Sep 2014,
112,King's Knight: Wrath of the Dark Dragon,Square Enix,Square Enix,action role-playing,13 Sep 2017,
113,Kingdom Rush,Ironhide Game Studio,Armor Games,tower defense,2 Jan 2014,
114,Layton's Mystery Journey,Level-5,Level-5,"puzzle, adventure",20 Jul 2017,
115,Lara Croft Go,Square Enix Montréal,Square Enix,puzzle,27 Aug 2015,
116,Lara Croft: Relic Run,"Simutronics,Crystal Dynamics,Square Enix",Square Enix,"action-adventure,endless running",28 May 2015,
117,League of Angels,Youzu Interactive,"Youzu Interactive,GTArcade","fantasy, massively multiplayeronline role-playing",10 Dec 2013,
118,Lego Batman 3: Beyond Gotham,Traveller's Tales,Warner Bros. Interactive Entertainment,action-adventure,NA: 11 Nov 2014EU: 14 Nov 2014AU: 26 Nov 2014JP: 2 Apr 2015,
119,Lego Star Wars: The Force Awakens,TT Fusion,Warner Bros. Interactive Entertainment,action-adventure,27 Jul 2016,
